gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-140-3p	285	264.3	-0.148161027150656	0.3888	0.03103
hsa-miR-148b-5p	312	267.1	-0.158268356517503	0.3966	0.0318
hsa-miR-642a-5p	2005	268.5	-0.26222672274106	0.3995	0.03219
hsa-miR-6729-5p	2110	269.2	-0.148960614291275	0.3999	0.03237
hsa-miR-126-5p	186	269.5	-0.153286059328523	0.399	0.03245
hsa-miR-409-3p	965	269.8	-0.144329165559629	0.3981	0.03252
hsa-miR-212-3p	465	270.2	-0.225328887673116	0.3977	0.03264
hsa-miR-27b-3p	528	270.3	-0.143213453711919	0.3963	0.03268
hsa-miR-1250-5p	161	271.3	-0.143054136717567	0.3979	0.03296
hsa-miR-6847-5p	2351	272.5	-0.160040412510468	0.3999	0.03327
hsa-miR-20a-5p	449	273	-0.13558601420693	0.3999	0.03342
hsa-miR-30e-5p	582	274	-0.146403493797487	0.4015	0.03371
hsa-miR-1287-5p	220	274	-0.134793803412827	0.3997	0.03371
hsa-miR-29c-3p	545	274.1	-0.275960984232732	0.3979	0.03371
hsa-miR-548ah-3p	1715	274.2	-0.149760644834091	0.3967	0.03375
hsa-miR-629-3p	1990	274.5	-0.144169725316234	0.3958	0.03383
hsa-miR-5587-5p	1825	275.3	-0.148960614291275	0.3966	0.03405
hsa-miR-4664-3p	1276	277.5	-0.251195309062932	0.4022	0.03468
hsa-miR-3917	924	277.6	-0.141461933663464	0.4009	0.03471
hsa-miR-6794-3p	2246	277.9	-0.143054136717567	0.4001	0.0348
hsa-miR-1226-3p	127	278	-0.25773503295987	0.3986	0.03482
hsa-miR-499b-3p	1540	278.4	-0.282087830355571	0.3983	0.03494
hsa-miR-374b-3p	875	279.1	-0.156980954276232	0.3987	0.03513
hsa-miR-503-5p	1573	280.1	-0.131313234677865	0.4003	0.03542
hsa-miR-4659a-3p	1264	282.8	-0.126738004621513	0.4073	0.03619
hsa-miR-145-3p	295	285.7	-0.132261648237312	0.415	0.03703
hsa-miR-4665-5p	1279	287.1	-0.156016155951673	0.418	0.03746
hsa-miR-423-5p	976	287.2	-0.125163697349526	0.4167	0.03749
hsa-miR-1269a	192	288	-0.130049652341001	0.4175	0.03772
hsa-miR-4747-3p	1411	290.8	-0.132261648237312	0.4249	0.03855
hsa-miR-3613-5p	769	292.8	-0.132261648237312	0.4295	0.03913
hsa-miR-6854-5p	2365	293.4	-0.142257815539934	0.4298	0.03932
hsa-miR-181c-5p	350	294.7	-0.23854450717728	0.4325	0.03973
hsa-miR-769-5p	2512	295.4	-0.12359110613115	0.4329	0.03994
hsa-miR-143-3p	291	296	-0.118413683756604	0.4331	0.04011
hsa-miR-3191-3p	693	299.8	-0.11966711132536	0.444	0.04129
